0.115 -0.000265429
0.12 -0.00168233
0.125 -0.00201967
0.13 -0.000921342
0.135 -0.000165932
0.14 0.00264322
0.145 0.00641114
0.15 0.0115788
0.155 0.016418
0.16 0.0218443
0.165 0.0279163
0.17 0.0350619
0.175 0.0419267
0.18 0.0493854
0.185 0.0578572
0.19 0.0675231
0.195 0.0768864
0.2 0.086753
0.205 0.096918
0.21 0.107405
0.215 0.117183
0.22 0.126373
0.225 0.134886
0.23 0.142621
0.235 0.149106
0.24 0.154537
0.245 0.159563
0.25 0.164573
0.255 0.169587
0.26 0.173381
0.265 0.176329
0.27 0.179313
0.275 0.182072
0.28 0.184056
0.285 0.185282
0.29 0.186191
0.295 0.186022
0.3 0.184391
0.305 0.181989
0.31 0.179868
0.315 0.178051
0.32 0.175638
0.325 0.171981
0.33 0.168996
0.335 0.165843
0.34 0.163018
0.345 0.159683
0.35 0.156022
0.355 0.1503
0.36 0.14389
0.365 0.137202
0.37 0.130552
0.375 0.12353
0.38 0.117366
0.385 0.110906
0.39 0.103999
0.395 0.0971206
0.4 0.0906759
0.405 0.0850341
0.41 0.0797899
0.415 0.0741361
0.42 0.0673868
0.425 0.0609636
0.43 0.0545405
0.435 0.0480266
0.44 0.0409835
0.445 0.0349643
0.45 0.0294633
0.455 0.0247892
0.46 0.0205342
0.465 0.0165858
0.47 0.0133395
0.475 0.010506
0.48 0.00791837
0.485 0.00475189
0.49 0.00213405
0.495 -0.0002138

