0.12 -3.46857e-05
0.13 0.0037566
0.14 0.0112626
0.15 0.0225008
0.16 0.0376
0.17 0.0559302
0.18 0.0771389
0.19 0.102284
0.2 0.130531
0.21 0.15912
0.22 0.184011
0.23 0.204641
0.24 0.221381
0.25 0.236018
0.26 0.248045
0.27 0.256358
0.28 0.259835
0.29 0.25894
0.3 0.253817
0.31 0.245547
0.32 0.236485
0.33 0.227742
0.34 0.217158
0.35 0.201694
0.36 0.183479
0.37 0.164386
0.38 0.145813
0.39 0.127309
0.4 0.109705
0.41 0.091517
0.42 0.0726397
0.43 0.0541312
0.44 0.0375532
0.45 0.0242666
0.46 0.0146732
0.47 0.00655051
0.48 0.000522657

